Bone Shredder,"[0, False]"
Hypnotic Specter,"[0, False]"
Murderous Rider,"[0, False]"
Ophiomancer,"[0, False]"
Rotting Regisaur,"[0, False]"
Woe Strider,"[0, False]"
"Braids, Cabal Minion","[0, False]"
"Gonti, Lord of Luxury","[0, False]"
Inverter of Truth,"[0, False]"
Ravenous Chupacabra,"[0, False]"
"Yawgmoth, Thran Physician","[0, False]"
Doom Whisperer,"[0, False]"
Shriekmaw,"[0, False]"
Street Wraith,"[0, False]"
Grave Titan,"[0, False]"
Massacre Wurm,"[0, False]"
Griselbrand,"[0, False]"
Rune-Scarred Demon,"[0, False]"
Liliana of the Veil,"[0, False]"
"Liliana, the Last Hope","[0, False]"
Dark Ritual,"[0, False]"
Demonic Consultation,"[0, False]"
Entomb,"[0, False]"
Fatal Push,"[0, False]"
Vampiric Tutor,"[0, False]"
Cabal Ritual,"[0, False]"
Go for the Throat,"[0, False]"
Heartless Act,"[0, False]"
Shallow Grave,"[0, False]"
Corpse Dance,"[0, False]"
Dismember,"[0, False]"
Hero's Downfall,"[0, False]"
Makeshift Mannequin,"[0, False]"
Bloodchief's Thirst,"[0, False]"
Duress,"[0, False]"
Imperial Seal,"[0, False]"
Inquisition of Kozilek,"[0, False]"
Mind Twist,"[0, False]"
Reanimate,"[0, False]"
Thoughtseize,"[0, False]"
Collective Brutality,"[0, False]"
Demonic Tutor,"[0, False]"
Exhume,"[0, False]"
Hymn to Tourach,"[0, False]"
Night's Whisper,"[0, False]"
Toxic Deluge,"[0, False]"
Yawgmoth's Will,"[0, False]"
Damnation,"[0, False]"
Tendrils of Agony,"[0, False]"
Dark Petition,"[0, False]"
Living Death,"[0, False]"
Wishclaw Talisman,"[0, False]"
Bolas's Citadel,"[0, False]"
Animate Dead,"[0, False]"
Bitterblossom,"[0, False]"
Necromancy,"[0, False]"
Phyrexian Arena,"[0, False]"
Recurring Nightmare,"[0, False]"
Yawgmoth's Bargain,"[0, False]"
Volrath's Stronghold,"[0, False]"
Bomat Courier,"[0, False]"
Falkenrath Gorger,"[0, False]"
Firedrinker Satyr,"[0, False]"
Goblin Guide,"[0, False]"
Goblin Welder,"[0, False]"
Grim Lavamancer,"[0, False]"
Monastery Swiftspear,"[0, False]"
Stromkirk Noble,"[0, False]"
Zurgo Bellstriker,"[0, False]"
Abbot of Keral Keep,"[0, False]"
Dire Fleet Daredevil,"[0, False]"
Dreadhorde Arcanist,"[0, False]"
Eidolon of the Great Revel,"[0, False]"
Embereth Shieldbreaker,"[0, False]"
Kargan Intimidator,"[0, False]"
