Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Seasoned Pyromancer",3,"Creature - Human Shaman",R,"mh1","145",mythic,r,Owned,Non-foil,false,,,"","",72662,
"Avalanche Riders",4,"Creature - Human Nomad",R,"ulg","74",uncommon,r,Owned,Non-foil,false,,,"","",12477,
"Flametongue Kavu",4,"Creature - Kavu",R,"pls","60",uncommon,r,Not Owned,Non-foil,false,,,"New","",15267,
"Hazoret the Fervent",4,"Legendary Creature - God",R,"akh","136",mythic,r,Owned,Non-foil,false,,,"","",63874,
"Hellrider",4,"Creature - Devil",R,"dka","93",rare,r,Not Owned,Non-foil,false,,,"New","",43185,
"Pia and Kiran Nalaar",4,"Legendary Creature - Human Artificer",R,"ori","157",rare,r,Owned,Non-foil,false,,,"","",57990,
"Glorybringer",5,"Creature - Dragon",R,"akh","134",rare,r,Owned,Non-foil,false,,,"","",63870,
"Kiki-Jiki, Mirror Breaker",5,"Legendary Creature - Goblin Shaman",R,"chk","175",rare,r,Not Owned,Non-foil,false,,,"New","",21021,
"Zealous Conscripts",5,"Creature - Human Warrior",R,"avr","166",rare,r,Not Owned,Non-foil,false,,,"New","",44033,
"Inferno Titan",6,"Creature - Giant",R,"m11","146",mythic,r,Not Owned,Non-foil,false,,,"New","",37428,
"Chandra, Torch of Defiance",4,"Legendary Planeswalker - Chandra",R,"kld","110",mythic,r,Not Owned,Non-foil,false,,,"New","",61573,
"Daretti, Scrap Savant",4,"Legendary Planeswalker - Daretti",R,"c14","33",mythic,r,Not Owned,Non-foil,false,,,"New","",55115,
"Koth of the Hammer",4,"Legendary Planeswalker - Koth",R,"som","94",mythic,r,Not Owned,Non-foil,false,,,"New","",38331,
"Burst Lightning",1,"Instant",R,"zen","119",common,r,Not Owned,Non-foil,false,,,"New","",34408,
"Lightning Bolt",1,"Instant",R,"leb","162",common,r,Not Owned,Non-foil,false,,,"New","",,
"Abrade",2,"Instant",R,"hou","83",uncommon,r,Not Owned,Non-foil,false,,,"New","",64650,
"Desperate Ritual",2,"Instant - Arcane",R,"chk","163",common,r,Not Owned,Non-foil,false,,,"New","",21529,
"Incinerate",2,"Instant",R,"ice","194",common,r,Not Owned,Non-foil,false,,,"New","",24425,
"Magma Jet",2,"Instant",R,"5dn","73",uncommon,r,Not Owned,Non-foil,false,,,"New","",20818,
"Pyretic Ritual",2,"Instant",R,"m11","153",common,r,Not Owned,Non-foil,false,,,"New","",37468,
"Char",3,"Instant",R,"rav","117",rare,r,Not Owned,Non-foil,false,,,"New","",23212,
"Seething Song",3,"Instant",R,"mrd","104",common,r,Not Owned,Non-foil,false,,,"New","",19991,
"Valakut Awakening",3,"Instant",R,"znr","174",rare,r,Owned,Non-foil,false,,,"","",83329,
"Through the Breach",5,"Instant - Arcane",R,"chk","193",rare,r,Not Owned,Non-foil,false,,,"New","",21519,
"Fireblast",6,"Instant",R,"vis","79",common,r,Not Owned,Non-foil,false,,,"New","",7551,
"Banefire",1,"Sorcery",R,"con","58",rare,r,Owned,Non-foil,false,,,"","",31883,
"Chain Lightning",1,"Sorcery",R,"leg","137",common,r,Not Owned,Non-foil,false,,,"New","",,
"Faithless Looting",1,"Sorcery",R,"dka","87",common,r,Not Owned,Non-foil,false,,,"New","",43267,
"Firebolt",1,"Sorcery",R,"ody","193",common,r,Not Owned,Non-foil,false,,,"New","",16705,
"Flame Slash",1,"Sorcery",R,"roe","145",common,r,Owned,Non-foil,false,,,"","",36640,
"Gamble",1,"Sorcery",R,"usg","188",rare,r,Owned,Non-foil,false,,,"","",12067,
"Rite of Flame",1,"Sorcery",R,"csp","96",common,r,Not Owned,Non-foil,false,,,"New","",24675,
"Cathartic Reunion",2,"Sorcery",R,"kld","109",common,r,Owned,Non-foil,false,,,"","",61699,
"Jeska's Will",3,"Sorcery",R,"cmr","187",rare,r,Owned,Non-foil,false,,,"","",85156,
"Wheel of Fortune",3,"Sorcery",R,"leb","184",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Fiery Confluence",4,"Sorcery",R,"c15","26",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Past in Flames",4,"Sorcery",R,"isd","155",mythic,r,Not Owned,Non-foil,false,,,"New","",42712,
"Ignite Memories",5,"Sorcery",R,"tsp","164",uncommon,r,Owned,Non-foil,false,,,"","",25543,
"Burning of Xinye",6,"Sorcery",R,"ptk","104",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Wildfire",6,"Sorcery",R,"p02","120",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Shrine of Burning Rage",2,"Artifact",R,"nph","153",uncommon,c,Not Owned,Non-foil,false,,,"New","",39810,
"Underworld Breach",2,"Enchantment",R,"thb","161",rare,r,Owned,Non-foil,false,,,"","",79446,
"Mana Flare",3,"Enchantment",R,"leb","163",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Sulfuric Vortex",3,"Enchantment",R,"scg","106",rare,r,Not Owned,Non-foil,false,,,"New","",18928,
"Valakut Exploration",3,"Enchantment",R,"znr","175",rare,r,Owned,Non-foil,false,,,"","",83333,
"Sneak Attack",4,"Enchantment",R,"usg","218",rare,r,Not Owned,Non-foil,false,,,"New","",12399,
"Splinter Twin",4,"Enchantment - Aura",R,"roe","165",rare,r,Not Owned,Non-foil,false,,,"New","",36426,
"Arbor Elf",1,"Creature - Elf Druid",G,"wwk","95",common,g,Not Owned,Non-foil,false,,,"New","",35773,
"Avacyn's Pilgrim",1,"Creature - Human Monk",G,"isd","170",common,m,Not Owned,Non-foil,false,,,"New","",42678,
"Birds of Paradise",1,"Creature - Bird",G,"leb","187",rare,g,Not Owned,Non-foil,false,,,"New","",,
"Elvish Mystic",1,"Creature - Elf Druid",G,"m14","169",common,g,Not Owned,Non-foil,false,,,"New","",49499,
"Elvish Reclaimer",1,"Creature - Elf Warrior",G,"m20","169",rare,g,Owned,Non-foil,false,,,"","",73237,
"Fyndhorn Elves",1,"Creature - Elf Druid",G,"ice","244",common,g,Not Owned,Non-foil,false,,,"New","",,
"Hexdrinker",1,"Creature - Snake",G,"mh1","168",mythic,g,Owned,Non-foil,false,,,"","",72708,
"Joraga Treespeaker",1,"Creature - Elf Druid",G,"roe","190",uncommon,g,Not Owned,Non-foil,false,,,"New","",36408,
"Llanowar Elves",1,"Creature - Elf Druid",G,"leb","211",common,g,Not Owned,Non-foil,false,,,"New","",,
"Noble Hierarch",1,"Creature - Human Druid",G,"con","87",rare,m,Not Owned,Non-foil,false,,,"New","",31745,
"Collector Ouphe",2,"Creature - Ouphe",G,"mh1","158",rare,g,Owned,Non-foil,false,,,"","",72688,
"Devoted Druid",2,"Creature - Elf Druid",G,"shm","110",common,g,Not Owned,Non-foil,false,,,"New","",29305,
"Duskwatch Recruiter",2,"Creature - Human Warrior Werewolf",G,"soi","203",uncommon,g,Owned,Non-foil,false,,,"","",60300,
"Fauna Shaman",2,"Creature - Elf Shaman",G,"m11","172",rare,g,Not Owned,Non-foil,false,,,"New","",37456,
"Lotus Cobra",2,"Creature - Snake",G,"zen","168",mythic,g,Not Owned,Non-foil,false,,,"New","",34546,
"Melira, Sylvok Outcast",2,"Legendary Creature - Human Scout",G,"nph","115",rare,g,Owned,Non-foil,false,,,"","",39688,
"Rofellos, Llanowar Emissary",2,"Legendary Creature - Elf Druid",G,"uds","118",rare,g,Not Owned,Non-foil,false,,,"New","",12913,
"Sakura-Tribe Elder",2,"Creature - Snake Shaman",G,"chk","239",common,g,Not Owned,Non-foil,false,,,"New","",21097,
"Scavenging Ooze",2,"Creature - Ooze",G,"cmd","170",rare,g,Owned,Non-foil,false,,,"","",40630,
"Sylvan Caryatid",2,"Creature - Plant",G,"ths","180",rare,g,Not Owned,Non-foil,false,,,"New","",50260,
"Wall of Blossoms",2,"Creature - Plant Wall",G,"sth","125",uncommon,g,Owned,Non-foil,false,,,"","",10433,
"Wall of Roots",2,"Creature - Plant Wall",G,"mir","253",common,g,Not Owned,Non-foil,false,,,"New","",7427,
"Courser of Kruphix",3,"Enchantment Creature - Centaur",G,"bng","119",rare,g,Not Owned,Non-foil,false,,,"New","",51851,
"Dryad of the Ilysian Grove",3,"Enchantment Creature - Nymph Dryad",G,"thb","169",rare,g,Owned,Non-foil,false,,,"","",79462,
"Eternal Witness",3,"Creature - Human Shaman",G,"5dn","86",uncommon,g,Not Owned,Non-foil,false,,,"New","",20856,
"Nissa, Vastwood Seer",3,"Legendary Creature - Elf Scout ",G,"ori","189",mythic,g,Not Owned,Non-foil,false,,,"New","",58056,
"Ramunap Excavator",3,"Creature - Naga Cleric",G,"hou","129",rare,g,Not Owned,Non-foil,false,,,"New","",64742,
"Reclamation Sage",3,"Creature - Elf Shaman",G,"m15","194",uncommon,g,Not Owned,Non-foil,false,,,"New","",53606,
"Tireless Tracker",3,"Creature - Human Scout",G,"soi","233",rare,g,Not Owned,Non-foil,false,,,"New","",60320,
"Oracle of Mul Daya",4,"Creature - Elf Shaman",G,"zen","172",rare,g,Not Owned,Non-foil,false,,,"New","",34542,
"Polukranos, World Eater",4,"Legendary Creature - Hydra",G,"ths","172",mythic,g,Owned,Non-foil,false,,,"","",50628,
"Questing Beast",4,"Legendary Creature - Beast",G,"eld","171",mythic,g,Owned,Non-foil,false,,,"","",78482,
"Acidic Slime",5,"Creature - Ooze",G,"m10","165",uncommon,g,Not Owned,Non-foil,false,,,"New","",32723,
"Deep Forest Hermit",5,"Creature - Elf Druid",G,"mh1","161",rare,g,Not Owned,Non-foil,false,,,"New","",72694,
"Deranged Hermit",5,"Creature - Elf",G,"ulg","101",rare,g,Not Owned,Non-foil,false,,,"New","",12473,
"Thragtusk",5,"Creature - Beast",G,"m13","193",rare,g,Owned,Non-foil,false,,,"","",45582,
"Carnage Tyrant",6,"Creature - Dinosaur",G,"xln","179",mythic,g,Owned,Non-foil,false,,,"","",65376,
"Primeval Titan",6,"Creature - Giant",G,"m11","192",mythic,g,Not Owned,Non-foil,false,,,"New","",37400,
"Vorinclex, Monstrous Raider",6,"Legendary Creature - Phyrexian Praetor",G,"khm","199",mythic,g,Owned,Non-foil,false,,,"","",87741,
"Avenger of Zendikar",7,"Creature - Elemental",G,"wwk","96",mythic,g,Owned,Non-foil,false,,,"","",35715,
"Craterhoof Behemoth",8,"Creature - Beast",G,"avr","172",mythic,g,Not Owned,Non-foil,false,,,"New","",43921,
"Terastodon",8,"Creature - Elephant",G,"wwk","115",rare,g,Not Owned,Non-foil,false,,,"New","",35629,
"Woodfall Primus",8,"Creature - Treefolk Shaman",G,"shm","135",rare,g,Not Owned,Non-foil,false,,,"New","",29589,
"Garruk Relentless",4,"Legendary Planeswalker - Garruk",G,"isd","181",mythic,m,Owned,Non-foil,false,,,"","",42744,
"Garruk Wildspeaker",4,"Legendary Planeswalker - Garruk",G,"lrw","213",rare,g,Not Owned,Non-foil,false,,,"New","",28453,
"Nissa, Who Shakes the World",5,"Legendary Planeswalker - Nissa",G,"war","169",rare,g,Owned,Non-foil,false,,,"","",71944,
"Crop Rotation",1,"Instant",G,"ulg","98",common,g,Not Owned,Non-foil,false,,,"New","",12547,
"Nature's Claim",1,"Instant",G,"wwk","108",common,g,Owned,Non-foil,false,,,"","",35699,
"Worldly Tutor",1,"Instant",G,"mir","255",uncommon,g,Not Owned,Non-foil,false,,,"New","",7445,
"Once Upon a Time",2,"Instant",G,"eld","169",rare,g,Not Owned,Non-foil,false,,,"New","",78478,
"Beast Within",3,"Instant",G,"nph","103",uncommon,g,Not Owned,Non-foil,false,,,"New","",39884,
"Green Sun's Zenith",1,"Sorcery",G,"mbs","81",rare,g,Not Owned,Non-foil,false,,,"New","",39581,
"Channel",2,"Sorcery",G,"leb","189",uncommon,g,Not Owned,Non-foil,false,,,"New","",,
"Finale of Devastation",2,"Sorcery",G,"war","160",mythic,g,Owned,Non-foil,false,,,"","",71926,
"Life from the Loam",2,"Sorcery",G,"rav","172",rare,g,Not Owned,Non-foil,false,,,"New","",23376,
"Regrowth",2,"Sorcery",G,"leb","215",uncommon,g,Not Owned,Non-foil,false,,,"New","",,
"Cultivate",3,"Sorcery",G,"m11","168",common,g,Not Owned,Non-foil,false,,,"New","",37350,
"Kodama's Reach",3,"Sorcery - Arcane",G,"chk","225",common,g,Not Owned,Non-foil,false,,,"New","",21003,
"Harmonize",4,"Sorcery",G,"plc","149",uncommon,g,Owned,Non-foil,false,,,"","",26249,
"Natural Order",4,"Sorcery",G,"vis","114",rare,g,Not Owned,Non-foil,false,,,"New","",7647,
"Plow Under",5,"Sorcery",G,"uds","117",rare,g,Not Owned,Non-foil,false,,,"New","",12761,
"Tooth and Nail",7,"Sorcery",G,"mrd","134",rare,g,Owned,Non-foil,false,,,"New","",19969,
"Birthing Pod",4,"Artifact",G,"nph","104",rare,g,Owned,Non-foil,false,,,"","",39796,
"Exploration",1,"Enchantment",G,"usg","250",rare,g,Owned,Non-foil,false,,,"","",12335,
"Fastbond",1,"Enchantment",G,"leb","193",rare,g,Not Owned,Non-foil,false,,,"New","",,
"Oath of Druids",2,"Enchantment",G,"exo","115",rare,g,Not Owned,Non-foil,false,,,"New","",10519,
"Survival of the Fittest",2,"Enchantment",G,"exo","129",rare,g,Not Owned,Non-foil,false,,,"New","",10709,
"Sylvan Library",2,"Enchantment",G,"leg","207",uncommon,g,Not Owned,Non-foil,false,,,"New","",,
"Heartbeat of Spring",3,"Enchantment",G,"chk","212",rare,g,Not Owned,Non-foil,false,,,"New","",21077,
"Gaea's Cradle",0,"Land",G,"usg","321",rare,Green,Not Owned,Non-foil,false,,,"New","",11867,
"Celestial Colonnade",0,"Multicolored",WU,"wwk","133",rare,l,Not Owned,Non-foil,false,,,"New","",35639,
"Flooded Strand",0,"azorius",WU,"ons","316",rare,l,Not Owned,Non-foil,false,,,"New","",18245,
"Hallowed Fountain",0,"Azorius",WU,"dis","174",rare,l,Not Owned,Non-foil,false,,,"New","",24001,
"Seachrome Coast",0,"Azorius",WU,"som","229",rare,l,Owned,Non-foil,false,,,"","",38289,
"Tundra",0,"Azorius",WU,"leb","285",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Geist of Saint Traft",3,"Legendary Creature - Spirit Cleric",WU,"isd","213",mythic,m,Owned,Non-foil,false,,,"","",42824,
"Sphinx's Revelation",3,"Instant",WU,"rtr","200",mythic,m,Owned,Non-foil,false,,,"","",46559,
"Teferi, Time Raveler",3,"Legendary Planeswalker - Teferi",WU,"war","221",rare,m,Not Owned,Non-foil,false,,,"New","",72048,
"Fractured Identity",5,"Sorcery",WU,"c17","37",rare,m,Not Owned,Non-foil,false,,,"New","",,
"Teferi, Hero of Dominaria",5,"Legendary Planeswalker - Teferi",WU,"dom","207",mythic,m,Not Owned,Non-foil,false,,,"New","",67879,
"Creeping Tar Pit",0,"Dimir",UB,"wwk","134",rare,l,Not Owned,Non-foil,false,,,"New","",35657,
"Darkslick Shores",0,"Dimir",UB,"som","226",rare,l,Owned,Non-foil,false,,,"","",38291,
"Polluted Delta",0,"dimir",UB,"ons","321",rare,l,Not Owned,Non-foil,false,,,"New","",18247,
"Underground Sea",0,"Dimir",UB,"leb","286",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Watery Grave",0,"Dimir",UB,"rav","286",rare,l,Not Owned,Non-foil,false,,,"New","",23586,
"Baleful Strix",2,"Artifact Creature - Bird",UB,"pc2","82",uncommon,m,Not Owned,Non-foil,false,,,"New","",45066,
"Ashiok, Nightmare Weaver",3,"Legendary Planeswalker - Ashiok",BU,"ths","188",mythic,m,Not Owned,Non-foil,false,,,"New","",50310,
"Tezzeret, Agent of Bolas",4,"Legendary Planeswalker - Tezzeret",BU,"mbs","97",mythic,m,Owned,Non-foil,false,,,"","",39301,
"Fallen Shinobi",5,"Creature - Zombie Ninja",BU,"mh1","199",rare,m,Owned,Non-foil,false,,,"","",72770,
"The Scarab God",5,"Legendary Creature - God",BU,"hou","145",mythic,m,Owned,Non-foil,false,,,"","",64774,
"Badlands",0,"Rakdos",BR,"leb","278",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Blackcleave Cliffs",0,"Rakdos",BR,"som","224",rare,l,Owned,Non-foil,false,,,"","",38293,
"Blood Crypt",0,"Rakdos",BR,"dis","171",rare,l,Not Owned,Non-foil,false,,,"New","",24053,
"Bloodstained Mire",0,"rakdos",BR,"ons","313",rare,l,Not Owned,Non-foil,false,,,"New","",18249,
"Lavaclaw Reaches",0,"Rakdos",BR,"wwk","139",rare,l,Not Owned,Non-foil,false,,,"New","",35665,
"Rakdos's Return",2,"Sorcery",BR,"rtr","188",mythic,m,Owned,Non-foil,false,,,"","",46565,
"Valki, God of Lies",2,"Legendary Creature - God",BR,"khm","114",mythic,m,Owned,Non-foil,false,,,"","",87561,
"Daretti, Ingenious Iconoclast",3,"Legendary Planeswalker - Daretti",BR,"cn2","74",mythic,m,Not Owned,Non-foil,false,,,"New","",,
"Kolaghan's Command",3,"Instant",BR,"dtk","224",rare,m,Not Owned,Non-foil,false,,,"New","",56082,
"Murderous Redcap",4,"Creature - Goblin Assassin",BR,"shm","192",uncommon,m,Owned,Non-foil,false,,,"","",29623,
"Raging Ravine",0,"Gruul",RG,"wwk","141",rare,l,Not Owned,Non-foil,false,,,"New","",35675,
"Sheltered Thicket",0,"Gruul",RG,"akh","248",rare,l,Owned,Non-foil,false,,,"","",64158,
"Stomping Ground",0,"Gruul",RG,"gpt","165",rare,l,Not Owned,Non-foil,false,,,"New","",23709,
"Taiga",0,"Gruul",RG,"leb","283",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Wooded Foothills",0,"gruul",RG,"ons","330",rare,l,Not Owned,Non-foil,false,,,"New","",18251,
"Ancient Grudge",2,"Instant",RG,"tsp","143",common,m,Owned,Non-foil,false,,,"","",25539,
"Manamorphose",2,"Instant",RG,"shm","211",common,m,Owned,Non-foil,false,,,"","",29653,
"Wrenn and Six",2,"Legendary Planeswalker - Wrenn",GR,"mh1","217",mythic,m,Not Owned,Non-foil,false,,,"New","",72806,
"Bloodbraid Elf",4,"Creature - Elf Berserker",RG,"arb","50",uncommon,m,Owned,Non-foil,false,,,"","",32430,
"Dragonlord Atarka",7,"Legendary Creature - Elder Dragon",GR,"dtk","216",mythic,m,Not Owned,Non-foil,false,,,"New","",55976,
"Horizon Canopy",0,"Selesnya",WG,"fut","177",rare,l,Owned,Non-foil,false,,,"","",26700,
"Savannah",0,"selesnya",WG,"leb","281",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Stirring Wildwood",0,"Selesnya",WG,"wwk","144",rare,l,Owned,Non-foil,false,,,"","",35679,
"Temple Garden",0,"selesnya",WG,"rav","284",rare,l,Not Owned,Non-foil,false,,,"New","",23594,
"Windswept Heath",0,"selesnya",WG,"ons","328",rare,l,Not Owned,Non-foil,false,,,"New","",18255,
"Eladamri's Call",2,"Instant",WG,"pls","106",rare,m,Owned,Non-foil,false,,,"","",15111,
"Gaddock Teeg",2,"Legendary Creature - Kithkin Advisor",GW,"lrw","248",rare,m,Owned,Non-foil,false,,,"","",28445,
"Kitchen Finks",3,"Creature - Ouphe",GW,"shm","229",uncommon,m,Owned,Non-foil,false,,,"","",29329,
"Knight of Autumn",3,"Creature - Dryad Knight",GW,"grn","183",rare,m,Owned,Non-foil,false,,,"","",69739,
"Mirari's Wake",5,"Enchantment",WG,"jud","139",rare,m,Not Owned,Non-foil,false,,,"New","",17618,
"Godless Shrine",0,"orzhov",WB,"gpt","157",rare,l,Not Owned,Non-foil,false,,,"New","",23755,
"Marsh Flats",0,"orzhov",WB,"zen","219",rare,l,Not Owned,Non-foil,false,,,"New","",34646,
"Scrubland",0,"orzhov",WB,"leb","282",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Shambling Vent",0,"Orzhov",WB,"bfz","244",rare,l,Owned,Non-foil,false,,,"","",58531,
"Silent Clearing",0,"Orzhov",WB,"mh1","246",rare,l,Owned,Non-foil,false,,,"","",72864,
"Tidehollow Sculler",2,"Artifact Creature - Zombie",WB,"ala","202",uncommon,m,Owned,Non-foil,false,,,"","",31125,
"Lingering Souls",3,"Sorcery",WB,"dka","12",uncommon,m,Not Owned,Non-foil,false,,,"New","",43359,
"Vindicate",3,"Sorcery",WB,"apc","126",rare,m,Not Owned,Non-foil,false,,,"New","",16154,
"Unburial Rites",5,"Sorcery",WB,"isd","122",uncommon,m,Not Owned,Non-foil,false,,,"New","",42482,
"Ashen Rider",8,"Creature - Archon",BW,"ths","187",mythic,m,Owned,Non-foil,false,,,"","",50570,
"Bayou",0,"golgari",BG,"leb","279",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Hissing Quagmire",0,"Golgari",BG,"ogw","171",rare,l,Owned,Non-foil,false,,,"","",59255,
"Nurturing Peatland",0,"golgari",BG,"mh1","243",rare,l,Not Owned,Non-foil,false,,,"New","",72858,
"Overgrown Tomb",0,"golgari",BG,"rav","279",rare,l,Not Owned,Non-foil,false,,,"New","",23592,
"Verdant Catacombs",0,"golgari",BG,"zen","229",rare,l,Not Owned,Non-foil,false,,,"New","",34704,
"Assassin's Trophy",2,"Instant",BG,"grn","152",rare,m,Not Owned,Non-foil,false,,,"New","",69677,
"Maelstrom Pulse",3,"Sorcery",BG,"arb","92",rare,m,Owned,Non-foil,false,,,"","",32388,
"Pernicious Deed",3,"Enchantment",BG,"apc","114",rare,m,Owned,Non-foil,false,,,"","",16230,
"Vraska, Golgari Queen",4,"Legendary Planeswalker - Vraska",BG,"grn","213",mythic,m,Owned,Non-foil,false,,,"","",69799,
"The Gitrog Monster",5,"Legendary Creature - Frog Horror",BG,"soi","245",mythic,m,Owned,Non-foil,false,,,"","",60004,
"Botanical Sanctum",0,"Simic",UG,"kld","244",rare,l,Owned,Non-foil,false,,,"","",61853,
"Breeding Pool",0,"simic",UG,"dis","172",rare,l,Not Owned,Non-foil,false,,,"New","",24029,
"Lumbering Falls",0,"Simic",UG,"bfz","239",rare,l,Owned,Non-foil,false,,,"","",58529,
"Misty Rainforest",0,"simic",UG,"zen","220",rare,l,Not Owned,Non-foil,false,,,"New","",34622,
"Tropical Island",0,"simic",UG,"leb","284",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Hydroid Krasis",2,"Creature - Jellyfish Hydra Beast",GU,"rna","183",mythic,m,Not Owned,Non-foil,false,,,"New","",71366,
"Kinnan, Bonder Prodigy",2,"Legendary Creature - Human Druid",GU,"iko","192",mythic,m,Owned,Non-foil,false,,,"","",80393,
"Oko, Thief of Crowns",3,"Legendary Planeswalker - Oko",GU,"eld","197",mythic,m,Not Owned,Non-foil,false,,,"New","",78538,
"Trygon Predator",3,"Creature - Beast",UG,"dis","133",uncommon,m,Owned,Non-foil,false,,,"","",24071,
"Uro, Titan of Nature's Wrath",3,"Legendary Creature - Elder Giant",GU,"thb","229",mythic,m,Owned,Non-foil,false,,,"","",79582,
"Scalding Tarn",0,"izzet",UR,"zen","223",rare,l,Not Owned,Non-foil,false,,,"New","",34590,
"Spirebluff Canal",0,"Izzet",UR,"kld","249",rare,l,Owned,Non-foil,false,,,"","",61851,
"Steam Vents",0,"izzet",UR,"gpt","164",rare,l,Not Owned,Non-foil,false,,,"New","",23739,
"Volcanic Island",0,"izzet",UR,"leb","287",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Wandering Fumarole",0,"Izzet",UR,"ogw","182",rare,l,Owned,Non-foil,false,,,"","",59259,
"Dack Fayden",3,"Legendary Planeswalker - Dack",UR,"cns","42",mythic,m,Not Owned,Non-foil,false,,,"New","",,
"Electrolyze",3,"Instant",UR,"gpt","111",uncommon,m,Owned,Non-foil,false,,,"","",23629,
"Fire // Ice",4,"Instant ",UR,"apc","128",uncommon,m,Not Owned,Non-foil,false,,,"New","",16338,
"Expansion // Explosion",6,"Instant",RU,"grn","224",rare,m,Owned,Non-foil,false,,,"","",69837,
"Thousand-Year Storm",6,"Enchantment",RU,"grn","207",mythic,m,Owned,Non-foil,false,,,"","",69787,
"Arid Mesa",0,"boros",WR,"zen","211",rare,l,Not Owned,Non-foil,false,,,"New","",34414,
"Figure of Destiny",1,"Creature - Kithkin",WR,"eve","139",rare,m,Not Owned,Non-foil,false,,,"New","",30238,
"Needle Spires",0,"Boros",WR,"ogw","175",rare,l,Owned,Non-foil,false,,,"","",59257,
"Plateau",0,"boros",WR,"leb","280",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Sacred Foundry",0,"boros",WR,"rav","280",rare,l,Not Owned,Non-foil,false,,,"New","",23590,
"Sunbaked Canyon",0,"boros",WR,"mh1","247",rare,l,Not Owned,Non-foil,false,,,"New","",72866,
"Lightning Helix",2,"Instant",RW,"rav","213",uncommon,m,Owned,Non-foil,false,,,"","",23154,
"Wear // Tear",3,"Instant",WR,"dgm","135",uncommon,m,Owned,Non-foil,false,,,"","",48524,
"Ajani Vengeant",4,"Legendary Planeswalker - Ajani",RW,"ala","154",mythic,m,Owned,Non-foil,false,,,"","",30923,
"Nahiri, the Harbinger",4,"Legendary Planeswalker - Nahiri",WR,"soi","247",mythic,m,Owned,Non-foil,false,,,"","",59924,
"Progenitus",10,"Legendary Creature - Hydra Avatar",WUBRG,"con","121",mythic,m,Owned,Non-foil,false,,,"","",31763,
"Hangarback Walker",0,"Artifact Creature - Construct",,"ori","229",rare,c,Owned,Non-foil,false,,,"","",58128,
"Stonecoil Serpent",0,"Artifact Creature - Snake",,"eld","235",rare,c,Owned,Non-foil,false,,,"","",78616,
"Walking Ballista",0,"Artifact Creature - Construct",,"aer","181",rare,c,Not Owned,Non-foil,false,,,"New","",62561,
"Phyrexian Revoker",2,"Artifact Creature - Horror",,"mbs","122",rare,c,Not Owned,Non-foil,false,,,"New","",39569,
"Porcelain Legionnaire",2,"Artifact Creature - Soldier",,"nph","19",common,w,Not Owned,Non-foil,false,,,"New","",39834,
"Metalworker",3,"Artifact Creature - Construct",,"uds","135",rare,c,Not Owned,Non-foil,false,,,"New","",12921,
"Phyrexian Metamorph",3,"Artifact Creature - Shapeshifter",,"nph","42",rare,u,Not Owned,Non-foil,false,,,"New","",39734,
"Lodestone Golem",4,"Artifact Creature - Golem",,"wwk","127",rare,c,Not Owned,Non-foil,false,,,"New","",35709,
"Solemn Simulacrum",4,"Artifact Creature - Golem",,"mrd","245",rare,c,Not Owned,Non-foil,false,,,"New","",20209,
"Golos, Tireless Pilgrim",5,"Legendary Artifact Creature - Scout",,"m20","226",rare,m,Owned,Non-foil,false,,,"","",73351,
"Kuldotha Forgemaster",5,"Artifact Creature - Construct",,"som","169",rare,c,Not Owned,Non-foil,false,,,"New","",38435,
"Wurmcoil Engine",6,"Artifact Creature - Wurm",,"som","223",mythic,c,Not Owned,Non-foil,false,,,"New","",38185,
"Blightsteel Colossus",12,"Artifact Creature - Golem",,"mbs","99",mythic,c,Not Owned,Non-foil,false,,,"New","",39587,
"Emrakul, the Aeons Torn",15,"Legendary Creature - Eldrazi",,"roe","4",mythic,c,Not Owned,Non-foil,false,,,"New","",36396,
"Emrakul, the Promised End",13,"Legendary Creature - Eldrazi",,"emn","6",mythic,c,Not Owned,Non-foil,false,,,"New","",61068,
"Kozilek, Butcher of Truth",10,"Legendary Creature - Eldrazi",,"roe","6",mythic,c,Not Owned,Non-foil,false,,,"New","",36628,
"Myr Battlesphere",7,"Artifact Creature - Myr Construct",,"som","180",rare,c,Not Owned,Non-foil,false,,,"New","",38307,
"Sphinx of the Steel Wind",8,"Artifact Creature - Sphinx",,"arb","110",mythic,m,Not Owned,Non-foil,false,,,"New","",32474,
"Sundering Titan",8,"Artifact Creature - Golem",,"dst","146",rare,c,Not Owned,Non-foil,false,,,"New","",20305,
