Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Balance",2,"Sorcery",W,"leb","3",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Declaration in Stone",2,"Sorcery",W,"soi","12",rare,w,Owned,Non-foil,false,,,"","",59878,
"Winds of Abandon",2,"Sorcery",W,"mh1","37",rare,w,Owned,Non-foil,false,,,"","",72446,
"Council's Judgment",3,"Sorcery",W,"cns","16",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Armageddon",4,"Sorcery",W,"leb","2",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Day of Judgment",4,"Sorcery",W,"zen","9",rare,w,Not Owned,Non-foil,false,,,"New","",34552,
"Ravages of War",4,"Sorcery",W,"ptk","17",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Wrath of God",4,"Sorcery",W,"leb","46",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Spectral Procession",6,"Sorcery",W,"shm","23",uncommon,w,Owned,Non-foil,false,,,"","",29605,
"Terminus",6,"Sorcery",W,"avr","38",rare,w,Owned,Non-foil,false,,,"","",43815,
"Maul of the Skyclaves",3,"Artifact - Equipment",W,"znr","27",rare,w,Owned,Non-foil,false,,,"","",82995,
"Land Tax",1,"Enchantment",W,"leg","26",uncommon,w,Not Owned,Non-foil,false,,,"New","",,
"Legion's Landing",1,"Legendary Enchantment ",W,"xln","22",rare,w,Not Owned,Non-foil,false,,,"New","",65054,
"Honor of the Pure",2,"Enchantment",W,"m10","16",rare,w,Owned,Non-foil,false,,,"","",32631,
"Banishing Light",3,"Enchantment",W,"jou","5",uncommon,w,Not Owned,Non-foil,false,,,"New","",52214,
"Oblivion Ring",3,"Enchantment",W,"lrw","34",common,w,Not Owned,Non-foil,false,,,"New","",28229,
"Moat",4,"Enchantment",W,"leg","28",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Parallax Wave",4,"Enchantment",W,"nem","17",rare,w,Not Owned,Non-foil,false,,,"New","",13747,
"Elspeth Conquers Death",5,"Enchantment - Saga",W,"thb","13",rare,w,Owned,Non-foil,false,,,"","",79150,
"Karakas",0,"Land",W,"leg","303",uncommon,White,Not Owned,Non-foil,false,,,"New","",,
"Baral, Chief of Compliance",2,"Legendary Creature - Human Wizard",U,"aer","28",rare,u,Not Owned,Non-foil,false,,,"New","",62653,
"Jace, Vryn's Prodigy",2,"Legendary Creature - Human Wizard ",U,"ori","60",mythic,u,Not Owned,Non-foil,false,,,"New","",57880,
"Phantasmal Image",2,"Creature - Illusion",U,"m12","72",rare,u,Not Owned,Non-foil,false,,,"New","",41369,
"Snapcaster Mage",2,"Creature - Human Wizard",U,"isd","78",rare,u,Not Owned,Non-foil,false,,,"New","",42512,
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"thb","73",rare,u,Owned,Non-foil,false,,,"","",79270,
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,u,Owned,Non-foil,false,,,"","",83127,
"Brazen Borrower",3,"Creature - Faerie Rogue",U,"eld","39",mythic,u,Owned,Non-foil,false,,,"","",78180,
"Deceiver Exarch",3,"Creature - Cleric",U,"nph","33",uncommon,u,Not Owned,Non-foil,false,,,"New","",39726,
"Emry, Lurker of the Loch",3,"Legendary Creature - Merfolk Wizard",U,"eld","43",rare,u,Not Owned,Non-foil,false,,,"New","",78190,
"Hullbreacher",3,"Creature - Merfolk Pirate",U,"cmr","74",rare,u,Owned,Non-foil,false,,,"","",84930,
"Laboratory Maniac",3,"Creature - Human Wizard",U,"isd","61",rare,u,Owned,Non-foil,false,,,"","",42560,
"Pestermite",3,"Creature - Faerie Rogue",U,"lrw","78",common,u,Not Owned,Non-foil,false,,,"New","",28241,
